1,① 강한 햇빛을 받은 지표 부근의 공기가 국지적으로 가열되면 상승 기류가 발달할 수 있다.,O
,② 뇌우의 성숙 단계에서 상승 기류와 하강 기류가 함께 나타난다.,O
,③ 황사의 발원지에서 강한 바람과 함께 상승 기류나 나타날 때 토양의 일부가 쉽게 공중으로 상승한다.,O
2,① 낙뢰(번개)는 주로 여름에 가장 많이 발생하지만 계절과 상관 없이 모두 발생 가능하다.,O
,② 황사는 우리나라에서 주로 봄철에 발생한다.,O
,③ 황사는 북태평양 고기압의 영향을 받을 때 주로 발생한다.,X
,④ 대기가 불안정할 때 강한 상승 기류가 발생할 수 있다.,O
3,① 태풍의 세력은 중심 기압이 높을수록 강하다.,X
,② 태풍의 최대 풍속은 주로 중심 기압과 비례한다.,X
,③ 태풍은 육상을 지남에 따라 열과 수증기의 공급이 줄며 세력이 약해진다.,O
4,① 태풍은 북태평양 고기압 가장자리의 영향을 받아 이동 경로가 바뀐다.,O
,② 북태평양 고기압의 세력이 강할수록 우리나라에 영향을 대체로 크게 미친다.,O
5,① 북반구에서 태풍은 시간이 지날수록 북상한다.,O
,② 지상 일기도에서 등압선이 조밀한 지역일수록 풍속이 약하다.,X
,③ 지상 일기도에서 태풍은 조밀한 동심원 모양으로 주로 나타난다.,O
6,① 해수의 수온은 깊이가 깊어질수록 대체로 감소한다.,O
,② 동해에서 표층 수온은 여름철이 겨울철보다 낮다.,X
,③ 혼합층의 두께가 두꺼울수록 수온 약층이 나타나기 시작하는 깊이가 깊다.,O
7,① 해수의 표층 수온은 고위도로 갈수록 대체로 높다.,X
,"② 수온이 높을수록, 염분이 낮을수록 해수의 밀도가 크다.",X
,③ 수온 - 염분도에서 오른쪽 아래로 갈수록 해수의 밀도가 작다.,X
8,① 쇄설성 퇴적암을 현미경으로 관찰할 때 공극과 교결 물질이 보인다.,O
,② 심성암은 주로 조립질 조직이 발달한다.,O
,③ 암석이 생성될 당시의 온도는 화성암이 퇴적암보다 높다.,O
9,① 생명 가능 지대는 액체 상태의 물이 존재할 가능성이 있는 범위이다.,O
,② 중심별의 광도가 클수록 생명 가능 지대의 폭이 두껍다.,O
,③ 중심별과 광도가 클수록 생명 가능 지대까지의 거리가 가깝다.,X
,④ 행성이 중심별로부터 받는 단위 시간당 단위 면적이 받는 복사 에너지양은 중심별로부터의 거리의 제곱에 비례한다.,X
,⑤ 행성이 중심별로부터 받는 단위 시간당 단위 면적이 받는 복사 에너지양은 중심별의 광도에 비례한다.,O
10,① 태양과 비슷한 질량의 별은 대부분의 에너지가 중심핵에서 생성된다.,O
,② 태양의 중심으로 갈수록 온도가 증가한다.,O
,"③ 태양의 내부 구조는 중심핵, 복사층, 대류층으로 이루어져 있다.",O
11,① 열대 수렴대(열적도)의 연평균 위도는 5°N이다.,O
,② 남반구에서 대기에 의한 남북 방향으로의 연평균 에너지는 북쪽 방향이다.,X
,③ 0°~30°의 지상에는 무역풍 30°~60°의 지상에는 편서풍 60°~90°의 지상에는 극동풍이 분다.,O
12,① 최초의 척추 동물은 오르도비스기에 출현하였다.,O
,② 최초의 양서류는 석탄기에 출현하였다.,X
,③ 최초의 파충류는 페름기에 출현하였다.,X
,④ 최초의 포유류는 트라이아스기에 출현하였다.,O
,⑤ 겉씨식물은 페름기에 출현하였다.,O
13,"① 태양의 남중 고도가 높을수록 낮의 길이가 길고, 밤의 길이가 짧다.",O
,② 태양의 남중 고도가 높을수록 지표면에 단위 면적당 단위 시간에 도달하는 태양 복사 에너지양이 많다. ,O
,③ 지구 자전축 기울기가 클수록 겨울철 태양의 남중 고도가 증가한다.,X
